"462413409,2026-02-21T10:44:33Z,1404/12/02 14:14,نیکروز,nanas2000,twit,#کیمیا سقوط بورس و سقوط 100 درصدی کیمیا مبارک اعضا مخصوصا مهسون"
"462413387,2026-02-21T10:44:06Z,1404/12/02 14:14,سهم های کوچولو,saham1990,twit,#تپولا بازار مثبت تپولا منفی.بازلر متعادل تپولا منفی.بازلر منفی تپولا منفی.....بازار بسته هم بشه تپولا منفی ها رو میخوره"
"462413371,2026-02-21T10:43:26Z,1404/12/02 14:13,Sonia,sonika,twit,#عیار تو پی وی خیلیا اومدن میگن میشه عکس پروفت رو توییت کنی اینجا؟😅 واضح نیست آخه😅 امان از مردای هیز😅😅"
"462413369,2026-02-21T10:43:23Z,1404/12/02 14:13,مجید,majid4466m,twit,خیلی فقط تو این بازارن که نوسان بگیرن، وخب سود هم میکنن تا حدودی، اما نکته اینجاست بالاخره یه روزی از سهم با قیمت پایین پیاده میشنو نمیتونن خودشونو قانع کنن که قیمت سهمو بالاتر بخرن،مثل دوستانی که تو ۷۰ تومان فروختنو دیگه نتونستن بخرن، فقط صبر کنید\nمن عمرمو تو بازار فارکس گذاشتم جز اولین تریدرای ایران بودم، چارت کرمان قطعا صعودیه، وسود بسیار بالایی میده، انتظار میره طی ۶ سال آینده قیمت سهم به بالای ۴۵۰۰تومان برسه"
"462413356,2026-02-21T10:42:49Z,1404/12/02 14:12,ارمین فراهانی,armen6,quote,کدوم شهروند سوئدی ا حمقی میاد ایران ک حالا بخاد خارج بشه \nایران فقط ا فغانی هست و پاککستانی\n\nهر چی گدا گشنه اس اینجا جمع شده \nسوئدی کجا بود دلت خوشه"
"462413352,2026-02-21T10:42:45Z,1404/12/02 14:12,دهقان,asledastan,quote,#نقران حباب در حباب صندوقها علیرغم افزایش 10 درصدی نقره جهانی هنوز تخلیه نشده"
"462413307,2026-02-21T10:40:34Z,1404/12/02 14:10,reza6436,reza6436,twit,#خودرو \nیادمه سال قبل با انتخاب پزشک یان یه عده اومدند شادی کردند و با بی عقل ی به ش هید رئیس ی توهی ن کردند ...شادی اونا رو الان  تماشا هستم"
"462413300,2026-02-21T10:39:56Z,1404/12/02 14:09,میلاد,miladt78,twit,#عیار دوستان اگه جنگ بشه بورس کالا و سپرده های کالایی همشون قفل میشه؟و تو بدبینانه ترین موضع اگه رژیم عوض بشه پولامون میپره؟"
"462413270,2026-02-21T10:38:10Z,1404/12/02 14:08,مهدی تورانچی,turktrust,quote,پرستو مشقات رو نوشتی"
"462410150,2026-02-21T09:07:35Z,1404/12/02 12:37,Moreb,moreb,retwit,#شاخص_بورس امیدوارم آقایون پوزیشن فروش آپشن نگرفته باشن ... وگرنه این حجم از بی تفاوتی واقعا نوبره"
