"462302324,2026-02-16T11:04:38Z,1404/11/27 14:34,قرقی بورس,reza3108112751,quote,من بهت میگم چی میشه\n\n\nمذاکرات خوبی داشتیم\n\nگفتگوهای سازنده ای داشتیم \n\nفضای حاکم بر مذاکرات فضای مثبتی بود\n\nگفتگوهای به نوعی رو به جلو بود\n\nدور نمای رسیدن به توافق مثبت بود\n\nاز میزبانی کشور سوئیس هم کمال تشکر داریم \n\nقرار شد گفتگوها ادامه داشته باشه\n\nفعلا سرکار باشید تا ببینیم چی میشه"
"462302315,2026-02-16T11:04:08Z,1404/11/27 14:34,Meri jin,saeidf71,twit,#بتیس برید سهمایی که بازارگردان این شرکت سهامدارش بوده رو ببینید که چه بلایی سرشون اومده"
"462302300,2026-02-16T11:02:54Z,1404/11/27 14:32,Ager,ager,twit,#شاخص_بورس \nطرف متولد عراق و عربی زاده است، چرا باید براش مهم باشه که مجری میگه «خلیج فارس» یا «خلیج****»"
"462302285,2026-02-16T11:02:30Z,1404/11/27 14:32,مهدی عرفانی,pahlavanmehdi,twit,🌺🌺🌺🌺🌺  اثر منفی مالیاتی بر #وبملت\n\nاثر مالیاتی در «وبملت» آزاردهنده است، اما دیگر نمادهای گروه شرایط خوبی دارند و « #ونوین » و « #وتجارت » گزینه‌های خوبی هستند. «دارایکم» هم هر زمان به این نقاط رسیده، یک واکنش اولیه داشته است و به نظر بد نیست این صندوق مورد توجه باشد."
"462296989,2026-02-16T07:38:37Z,1404/11/27 11:08,marygnat,maryam11011,retwit,#شاخص_بورس \n\nچنان داغ شدیم \n.\n.\n.\n.\n.\n.\n.\nکه مایه عبرت آیندگان شدیم \n\nکتاب اقتصاد فصل آخر دانشگاه مالبختگان دلسوخته بورس \nمطمئنم در آینده بخشی از کتابای درسی ماها هستیم"
"462302268,2026-02-16T11:01:48Z,1404/11/27 14:31,مهدی عرفانی,pahlavanmehdi,twit,🌺🌺🌺🌺🌺   احتمال تحقق سود ۱۴۵۰ ریالی در #شپنا\n\nدر گروه پالایشی، به نظر کم‌کم قیمت‌ها به نقاط خوبی می‌رسند؛ مثلاً «شپنا» در ۶۲۰۰ ۶۳۰۰ ریال، ریسک‌ها را پوشش داده است و P/E ۴ است. در «شپنا»، برآوردهای اولیه حاکی از آن است که ۱۴۵۰ ریال سود در ۱۲ماهه محقق می‌کند. ۹۰۰ ریال تقسیم می‌کند و P/E زیر ۳ دارد. حقوقی‌ها امروز می‌توانند یک پارت خرید در سهم‌های گروه داشته باشند. « #پالایش » هم حباب منفی خوبی گرفته است."
"462302265,2026-02-16T11:01:46Z,1404/11/27 14:31,ارمین فراهانی,armen6,quote,برای بقا هر کاری میکنن \nامان از دالرزهای نفتی \nهشت درصدثروت جهان اینجاس"
"462302256,2026-02-16T11:01:31Z,1404/11/27 14:31,TEZAR,tezar55,quote,#شاخص_بورس این ها رو میبینی آقای رنگو\nبرای بقای خودشون و یک روز بیشتر دست به هر کاری میزنند حتی توافق با ترامپ\nبراحتی پا روی تفکر چند ساله خودشون میزارن.\nحتما دو روز دیگه با اسقاطیل هم داداشی خواهند شد.\nچی شد پس ،نه مذاکره میکنیم نه جنگ میشه"
"462302245,2026-02-16T11:01:12Z,1404/11/27 14:31,مهدی عرفانی,pahlavanmehdi,twit,🌺🌺🌺🌺🌺  بررسی #جم در قیمت‌های ۴۲۰۰ ۴۳۰۰ تومان\n\n«جم» در ۴۲۰۰ ۴۳۰۰ تومان، « #پارس » در ۲۵۰۰ ریال، « #شاراک » در قیمت‌های ۱۰۰۰ و کمتر و «مارون» در قیمت‌های حوالی ۵۰۰۰ شرایط خوبی دارند و می‌توانند مورد توجه بازار باشند. در اوره‌ای‌ها، «شیراز» و در متانولی‌ها، «شفن» مورد توجه هستند. «زاگرس» هم اصلاح عجیبی کرده و شاید یکی دو گزارش دیگر، بازار را به سمت آن هدایت کند."
"462302238,2026-02-16T11:01:00Z,1404/11/27 14:31,Hosin,hossin12,quote,#شاخص_بورس وقتی خود سازنده f35 اومده ،f35 که در جنگ ۱۲ حتی یکدونش هم نشد توو رادار  ببنیم چه برسه بتونیم بزنیم ، باید هم با شیرینی اجیل برن مذاکره که شاید امریکا کوتاه بیاد"
