"461850955,2026-01-28T10:46:24Z,1404/11/08 14:16,مهدی,mohamad1215000,twit,#دانا https://newshekayat.seo.ir/\nشکایت در مورد گزارش 9 ماهه بیمه دانا که دستکاری در ان است را گزارش کنید شاید رسیدگی شود\nhttps://newshekayat.seo.ir/"
"461850949,2026-01-28T10:46:20Z,1404/11/08 14:16,Alireza500500,alireza500500,quote,چرا دروغ مینویسید"
"461850936,2026-01-28T10:45:46Z,1404/11/08 14:15,وسهام,a224,quote,دشمن همینجاست کافیه با دقت بیشتری نگاه کنی . #شاخص_بورس"
"461850923,2026-01-28T10:45:21Z,1404/11/08 14:15,لکدن آلن مک دونالد,vahidmeymandi,quote,اینا خودشون فروختن حالا پشیمونن...افزایش سقف هم برای نور چشمی ها هست..."
"461850911,2026-01-28T10:44:30Z,1404/11/08 14:14,آسمانی,asemani1403,twit,#نقرابی خدا کنه بدون دامنه باز بشن"
"461850889,2026-01-28T10:43:58Z,1404/11/08 14:13,siamak75,siamak75,quote,دشمن پشت دروازه های کشوره کلاهک اتمی حق کل مردم ایرانه"
"461850883,2026-01-28T10:43:36Z,1404/11/08 14:13,فری,feri_sahamyab,twit,#عیار \nاونس 5293  تتر 157500  عیار = 53600\nدر ضمن منتظر دو تا توییت  مو نارنجی باشد \n* کلیر شدن آسمان و زمین \n** فقط یک شرط برای مذاکره ( دوستی با ا....ل )"
"461850873,2026-01-28T10:43:21Z,1404/11/08 14:13,شاهپور,hmhossein,quote,خدا به خر شاخ نداد ولی به بعضی ها خریت کامل رو عطا کرده!"
"461850864,2026-01-28T10:43:12Z,1404/11/08 14:13,M150150,saeed150150,quote,حق داری اما خودت رو سرزنش نکن. شما که نمیخواستی  اینطوری بشه. اون دوستتون هم فکر نمیکرد ماشینش بعد از این همه سال اینقدر بره بالا. هر چند میدونم هر حرفی از امید به بهبود سهام باعث میشه  همه بر علیه من جبهه بگیرن اما به آینده بازار خوشبینم.\nامیدوارم روزی برسه که همه سهامداران با رشد عالی  سهامشون خوشحال بشن مخصوصا سهامدارانی که تو پرتفوی سهام  خودرویی و هم وزن و کوچک دارن."
"461850846,2026-01-28T10:42:52Z,1404/11/08 14:12,آسمانی,asemani1403,twit,#نقران ان شاء هرچه زودتر باز بشه"
