"460408065,2025-11-21T10:33:31Z,1404/08/30 14:03,مسعود,mgh5151,twit,#عیار \nیه جوری بنویسد وقتی فردا پپستتهاتنون ساعت ۱۲ اوردم بالا خجالت نکشید\nفردا بقال سر کوچه هم می‌ره طلا میخره کاری به اونس هم ندارد\nتو بازار همه به هم میگن دلار چنده نمیگن اونس چنده!!!"
"460408061,2025-11-21T10:33:25Z,1404/08/30 14:03,تحلیل بازار سرمایه ایران,alendelon,twit,#شاخص_بورس یه سلامی هم بکنیم به اونایی که میگفتن بیت کوین تا انتهای ۲۰۲۵ به ۲۰۰ هزار دلار میرسه. سلام تریدر ! سلام تحلیلگر !🤣🤣🤣😎"
"460408046,2025-11-21T10:31:39Z,1404/08/30 14:01,MAT,matt,quote,نمیگم طلا بده در حال حاضر من بورس را انتخاب کردم چون ریسک بالا داره طلا خوب خودت میگی طلا جهانی تو40 سال 9 برابر شده..... الان هم بالا رفتن طلافقط به خاطر  قیمت  جهانی....(آمریکا یک شبه 30 درصد را میاره پایین مثل ارز دیجیتال) دولت دلار را تو همین قیمت داره بالا پایین میکنه یک ماهی هست..... اگه   36 درصد سود درآمد ثابت را اگه به دست آوردی از طلا صلوات بفرست....."
"460408034,2025-11-21T10:29:00Z,1404/08/30 13:59,gholami ,gholami1355,quote,شک داری مگه"
"460408030,2025-11-21T10:28:41Z,1404/08/30 13:58,سید,mahdi13031,quote,وضعیت براشون خطری شده 😔😔😔😔😔😭😭😭😭"
"460408022,2025-11-21T10:26:57Z,1404/08/30 13:56,سید,mahdi13031,twit,#ثرود \nثاخت\nامسال سهمی 14 تومن ساخته و طبق سیاست غدیر باید 90 درصد سود انباشته(1800 میلیارد تومان) تقسیم بشه = تقسیم سود حدود 19 تومان هر سهم\nبرای سال جدید هم با سیاست فروش نارنجستان جنوبی ، شمع ساحل و فروش 5 همت دارایی در کیش ، سود سال مالی تا 40 تومان می تونه افزایش پیدا کنه\n=======> سود سال مالی جدید + تقسیم سود مجمع !!!! بیشتر از قیمت سهام خواهد بود که جزو شگفتی های بازار سرمایه است"
"460408016,2025-11-21T10:26:56Z,1404/08/30 13:56,اکبر22,akbar2222,twit,#شپلی  واکنش مقامت روبرو برسی گردد"
"460408011,2025-11-21T10:26:54Z,1404/08/30 13:56,اکبر22,akbar2222,twit,#شپلی  واکنش مقامت روبرو برسی گردد"
"460407996,2025-11-21T10:26:20Z,1404/08/30 13:56,سید,mahdi13031,twit,#ثعمرا \nثاخت\nامسال سهمی 14 تومن ساخته و طبق سیاست غدیر باید 90 درصد سود انباشته(1800 میلیارد تومان) تقسیم بشه = تقسیم سود حدود 19 تومان هر سهم\nبرای سال جدید هم با سیاست فروش نارنجستان جنوبی ، شمع ساحل و فروش 5 همت دارایی در کیش ، سود سال مالی تا 40 تومان می تونه افزایش پیدا کنه\n=======> سود سال مالی جدید + تقسیم سود مجمع !!!! بیشتر از قیمت سهام خواهد بود که جزو شگفتی های بازار سرمایه است"
"460407989,2025-11-21T10:25:33Z,1404/08/30 13:55,سید,mahdi13031,twit,#ثباغ \nثاخت\nامسال سهمی 14 تومن ساخته و طبق سیاست غدیر باید 90 درصد سود انباشته(1800 میلیارد تومان) تقسیم بشه = تقسیم سود حدود 19 تومان هر سهم\nبرای سال جدید هم با سیاست فروش نارنجستان جنوبی ، شمع ساحل و فروش 5 همت دارایی در کیش ، سود سال مالی تا 40 تومان می تونه افزایش پیدا کنه\n=======> سود سال مالی جدید + تقسیم سود مجمع !!!! بیشتر از قیمت سهام خواهد بود که جزو شگفتی های بازار سرمایه است"
