"465697739,2026-09-03T14:25:27Z,1405/06/12 17:55,پیام بازرگانی,majidjon1,twit,#شاخص_بورس  سلام، آغاز حذف ۴صفر پول ملی و افزودن یک صفر به حقوق کارمندان و کارگران"
"465697728,2026-09-03T14:24:19Z,1405/06/12 17:54,S,iranman2020,twit,#کچاد \nبا توجه به حمایت ۲۶۴.۸در روز چهارشنبه و خشک کردن سهم (سهم رو از فروشنده خالی کرد)\nبرای شنبه ان شالله حرکت صعودی سهم استارت میخوره و صف های خرید سنگین رو شاهد خواهیم بود موفق باشید."
"465697720,2026-09-03T14:24:03Z,1405/06/12 17:54,saman1325.,saman1325.,quote,#شاخص_بورس عزیز پول ملی در حال بی ارزش شدنه.  صورت حساب جنگ هنور اول فاکتورش هست...."
"465697705,2026-09-03T14:23:38Z,1405/06/12 17:53,کامران,kamran12,twit,#وکغدیر \nوکغدیر مالک ۶۵٪ شرکت فولاد غدیر نی‌ریز \nشرکت مذکور در پال سال مالی منتهی به شهریور ۱۴۰۴ بیش از ۸۱۵ میلیارد سود خالص کسب نموده.\nاحتمالا عرضه  این شرکت در بورس در آینده"
"465697701,2026-09-03T14:23:35Z,1405/06/12 17:53,تمپلتون,tempelton,quote,مهم اینه که بدون دامنه باز بشه و ناظر هم تایید کنه که فکر نکنم همچین اتفاقی بیفته..."
"465697678,2026-09-03T14:20:49Z,1405/06/12 17:50,مهرداد,mehrdad604,twit,#فملی   تحلیل هوش مصنوعی از نمودار فملی:\n\nکاملاً صعودی است.\nدر نمودار هفتگی، قیمت از محدوده‌های حدود ۳۰۰۰–۴۰۰۰ تومان وارد یک روند صعودی بسیار قدرتمند شده و اکنون به ۲۲٬۱۶۰ تومان رسیده است.\n\nنکته مهم‌تر اینکه:\n\nقیمت سقف‌های قبلی را یکی‌یکی شکسته.\nOBV هفتگی به‌شدت صعودی است و حتی هم‌زمان با رشد قیمت سقف‌های جدید می‌سازد.\nبنابراین فعلاً نشانه واضحی از واگرایی منفی OBV و قیمت دیده نمی‌شود.\nحجم معاملات در موج اخیر نیز افزایش پیدا کرده است.\n\nاین ترکیب از نظر تکنیکال، روند صعودی را تأیید می‌کند.\n\n2. اما RSI یک هشدار مهم می‌دهد\n\nRSI روزانه: 82.5\nRSI هفتگی: 84.1\n\nهر دو بسیار بالاتر از 70 هستند.\n\nاین به معنی «حتماً باید بفروشی» نیست؛ بلکه یعنی روند بسیار قدرتمند ولی بیش‌کشش (Overextended) شده است.\n\nدر چنین شرایطی معمولاً یکی از این دو اتفاق رخ می‌دهد:\n\nقیمت مدتی در همین محدوده نوسان و استراحت می‌کند و RSI پایین می‌آید.\nیک اصلاح کوتاه‌مدت انجام می‌دهد و سپس روند صعودی ادامه پیدا می‌کند.\n\nبا توجه به OBV، فعلاً سناریوی دوم/استراحت قیمتی را برای من محتمل‌تر از پایان روند می‌کند.\n\n3. مهم‌ترین نکته در نمودار فعلی\n\nبه نظرم ۲۲٬۰۰۰ تومان بیشتر یک عدد روانی است تا مقاومت تکنیکال قطعی.\n\nاگر فملی بتواند بالای ۲۲٬۰۰۰–۲۲٬۵۰۰ تثبیت شود، فضای نمودار بازتر می‌شود."
"465697666,2026-09-03T14:20:01Z,1405/06/12 17:50,آلفا,alpham,twit,#کاما \nنمودار مقایسه ای\nکاما: بنفش\nفملی: زرد\nتاصیکو: آبی\n\nکاما به عقیده بنده قیمتش باید از همشون بزنه جلو طبق سابقه تاریخی"
"465697646,2026-09-03T14:16:57Z,1405/06/12 17:46,Rezaaa13125,reza1312555,twit,#کزغال یکی از بهترینها تو روز چهارشنبه. سه شنبه هم که حقوقی کد به کد خفن کرد به حقیقی"
"465697629,2026-09-03T14:15:12Z,1405/06/12 17:45,Gallant,hadiox,twit,#فزر \nهدف از این تحلیل‌ها، زیر سؤال بردن فزر و ظرفیت‌های ارزشمند شرکت نیست؛ هدف این است که تازه‌واردان قبل از ورود همه جوانب سهم، از وضعیت بنیادی و رشد سودآوری گرفته تا ارزش‌گذاری و ریسک قیمت را بررسی کنند.\nدر بحبوحه این بخر بخرها، امیدوارم هیچ هموطنی صرفاً تحت تأثیر هیجان بازار وارد سهمی نشود که بعدا متحمل زیان شود.\nاتفاقاً خود من به اندازه کافی فزر دارم؛ با قیمت سر‌به‌سر زیر ۵۰۰۰ تومان. بنابراین نه دلیلی برای پایین آمدن سهم دارم و نه نگرانی از رشد آن. حرف من فقط این است: سودآوری خوب، مجوز خرید در هر قیمتی نیست،\n🙂"
"465697618,2026-09-03T14:14:42Z,1405/06/12 17:44,محمد,mb56585658,twit,#انرژی دلارو یه نگاه بندار .انرژی به گرد پاشم نمیرسه"
