"466210761,2026-09-24T14:36:36Z,1405/07/02 18:06,آرتین,hasan393393,twit,#خزامیا z24سایپا رونمایی شد جانشین نیسان آبی میشه.قشنگ و امروزیه"
"a0e26e07-4796-42c1-87b4-531b65dafc08,,,,,all,"
"466210730,2026-09-24T14:31:19Z,1405/07/02 18:01,Porya04122,porya02122,quote,تاپیکو حقوقی ها نمیزارن منفی بشه تو صف فروش فقط می‌خرن"
"466210709,2026-09-24T14:29:10Z,1405/07/02 17:59,DPNN,pirvali1234,twit,#پترول .....نوسانگیران  و سفته بازان در سایه بی توجهی سهامداران عمده متاسفانه نفس این سهمو بریدن.......\nهر کی از راه میرسه یه نوسانی میگیره و مثل تفاله پرتش میکنه.....\n\nوگرنه چطور سهام یک شرکت در نصف قیمتهای 6 سال پیش دست و پا میزنه.....\n\nپارسان وتاپیکو..شستا...و...و...اینها هم هلدینگ  پتروشیمی هستند....اما صاحب دارند....................و در این سالها چندین برابر شدند با سود مجمع عالی ....\n\nمتاسفم واقعا که سالیان ساله با این سهم موندیم....متاسفم...."
"466210706,2026-09-24T14:28:44Z,1405/07/02 17:58,فراهانی,raza6479,twit,#شپنا \nبا توجه به رشد اخیر کرک‌اسپرد، اثر افزایش نرخ گاز بر پالایشگاه‌هایی مثل شپنا تا حد زیادی قابل‌جبران است؛ زیرا افزایش گاز عمدتاً هزینه سوخت پالایشگاه را بالا می‌برد، درحالی‌که حاشیه سود پالایشی از محل فاصله قیمت فرآورده‌ها با نفت خام تقویت شده است. کرک گازوئیل در اروپا و آمریکا به سطوح بالایی رسیده و متوسط کرک صنعت پالایش ایران در شهریور نیز حدود ۲۷ دلار برآورد شده است؛ بنابراین در شرایط فعلی، برای شپنا اثر مثبت کرک‌اسپرد از اثر منفی افزایش نرخ گاز مهم‌تر به نظر می‌رسد"
"466210696,2026-09-24T14:27:55Z,1405/07/02 17:57,Aydaeb,aydaeb,twit,#خزر \n۲۰ درصد ضرر💔"
"466210687,2026-09-24T14:26:17Z,1405/07/02 17:56,امیدی,mehdisheikh111,twit,#شاخص_بورس من نمی دونم که جنگ میشه یا توافق\nولی اینو می دونم هر کدوم اتفاق بیفته در نهایت بورس پرواز می کنه،(از کلمه صعود استفاده نکردم)\nالبته که در صورت جنگ، بعد از چند ماه این اتفاق می افته\nچرا؟ چون سرمایه و سرمایه گذار وارد کشور میشه"
"466210659,2026-09-24T14:23:06Z,1405/07/02 17:53,الی۱۲۳۴۵,giti12345,twit,#شاخص_بورس \nدوستان اگر در پاییز جنگ بشه وضعیت سهامهای بنیادی و کوچک و اهرمیها و صندوق های طلا چی میشه؟ بنظرم کشور ما در استانه جنگه ولی نمیدونم چرا در صفحات تحلیل سهامها هیچکس در اینمورد حرفی نمیزنه."
"466210651,2026-09-24T14:21:07Z,1405/07/02 17:51,فراهانی,raza6479,twit,#شپنا \nبرای پالایشگاه‌ها افزایش نرخ گاز عمدتاً به معنی افزایش هزینه سوخت و انرژی پالایشگاه است، نه افزایش هزینه خوراک اصلی؛ چون خوراک اصلی آنها نفت خام است. بنابراین اثر آن روی سود شپنا، شبندر، شتران و… معمولاً محدودتر از پتروشیمی‌های گازخوراک است و باید در کنار کرک‌اسپرد و نرخ فرآورده‌ها سنجیده شود. در واقع اگر کرک‌اسپرد بالا باشد، افزایش هزینه گاز می‌تواند بخش کوچکی از حاشیه سود را کم کند، اما لزوماً روند سود پالایشگاه را معکوس نمی‌کند. در حال حاضر نیز گزارش‌های بازار تأکید می‌کنند که محرک اصلی سود پالایشی‌ها فاصله قیمت فرآورده‌ها از هزینه نفت خام (کرک‌اسپرد) است، نه صرفاً نرخ گاز."
"466210641,2026-09-24T14:20:38Z,1405/07/02 17:50,bualisina,bualisina,twit,#غگل باید دید چه میشود با توجه گزارش فروش 6 ماهه تابستان یکشنبه میاد و سهم کف ممنتومی هست میتونه رشد کنه ولی تا 740 نشکسته و3 روز بالاش تثبیت نداده سرمایه درگیر این سهم نکنید هنوز اصلاح زمانی دارد"
"466210632,2026-09-24T14:19:58Z,1405/07/02 17:49,دهه شصتی,testjafar,quote,#شاخص_بورس ظاهراً به نوک قله رسیده‌ایم"
